Algorithm,Preprocessing,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
Hierarchical,none,3,0.449360862303228,352.83550286580163,0.7637021877764493
Hierarchical,none,4,0.39223366903908274,292.93649351192215,0.7396910540335802
Hierarchical,none,5,0.32696085976670114,265.6041912596051,0.8054186212646641
Hierarchical,normalize,3,0.3926339709101015,238.3611961040115,0.9445072193243359
Hierarchical,normalize,4,0.3005761085141328,183.20041331003893,1.2126540566653334
Hierarchical,normalize,5,0.27463857070040487,157.15682813316684,1.2329346338273413
Hierarchical,pca,3,0.3971184344901576,242.17868338631098,0.9417748107975576
Hierarchical,pca,4,0.3038556289653345,190.01248924480254,1.1432354358359555
Hierarchical,pca,5,0.2519277212902099,164.37093890078347,1.313365525035213
Hierarchical,t+n,3,0.3919138993969847,225.10166886215495,0.9841148665631723
Hierarchical,t+n,4,0.3593064540473514,174.63414350932962,1.1958519903389244
Hierarchical,t+n,5,0.28377373384168886,148.5659399002946,1.291842678219283
Hierarchical,t+n+pca,3,0.39274746729252,225.84390070944718,0.9821594143698897
Hierarchical,t+n+pca,4,0.36016596535422435,175.26827264983282,1.1934745413503856
Hierarchical,t+n+pca,5,0.284605319226247,149.13171595554454,1.2889509853131471
Hierarchical,transform,3,0.3919138993969847,225.10166886215492,0.9841148665631719
Hierarchical,transform,4,0.3593064540473514,174.6341435093296,1.1958519903389244
Hierarchical,transform,5,0.28377373384168886,148.5659399002946,1.291842678219283
KMeans,none,3,0.4719337319126887,375.8049613895007,0.7533139698796382
KMeans,none,4,0.3953600261389669,327.83531956540355,0.8912714871607204
KMeans,none,5,0.3673679006589208,309.7229284441923,0.8793553900838951
KMeans,normalize,3,0.40072705527512986,249.7841749161647,0.9278712249013426
KMeans,normalize,4,0.32757426605518075,203.18771540485884,1.06261546298054
KMeans,normalize,5,0.28492975186953856,179.48304754123404,1.1824636282149874
KMeans,pca,3,0.4014650272048264,250.51871861639646,0.9262560113561187
KMeans,pca,4,0.3283042681887028,203.8502258666077,1.0602515711814122
KMeans,pca,5,0.28571563336519357,180.1446339717834,1.1800043298568403
KMeans,t+n,3,0.4028881395191352,236.02448807811982,0.9573957555899266
KMeans,t+n,4,0.3344650038831401,190.92707620166024,1.2174003115765208
KMeans,t+n,5,0.2967882974008722,165.31547725752375,1.266713274842863
KMeans,t+n+pca,3,0.40554739132190815,236.8226833078681,0.9552244305494577
KMeans,t+n+pca,4,0.3353974425468449,191.67957989959706,1.2150295560678424
KMeans,t+n+pca,5,0.2977941891258315,166.02361961760863,1.2640145800445899
KMeans,transform,3,0.4028881395191352,236.02448807811982,0.9573957555899265
KMeans,transform,4,0.33446500388314016,190.9270762016603,1.2174003115765208
KMeans,transform,5,0.29678829740087226,165.31547725752375,1.266713274842863
MeanShift,none,3,0.5182873410849098,351.1799921555833,0.6909798210703109
MeanShift,none,4,0.5182873410849098,351.1799921555833,0.6909798210703109
MeanShift,none,5,0.5182873410849098,351.1799921555833,0.6909798210703109
MeanShift,normalize,3,0.4399336845819259,245.4680295855409,0.8600773430450883
MeanShift,normalize,4,0.4399336845819259,245.4680295855409,0.8600773430450883
MeanShift,normalize,5,0.4399336845819259,245.4680295855409,0.8600773430450883
MeanShift,pca,3,0.4434565893481482,248.4248405053483,0.8523984237153801
MeanShift,pca,4,0.4434565893481482,248.4248405053483,0.8523984237153801
MeanShift,pca,5,0.4434565893481482,248.4248405053483,0.8523984237153801
